from,to,label,strength,trust,sensitivity,specificity,statement,quote,source,question,domain,attribution,full.quote,combo.type,definition.type,package,packageNote,fun
5,104,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,104,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,104,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,130,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,104,NA,NA,NA,NA,NA,46,Husband works as a labour in construction site. I have to look after children so we have stopped pig breeding and also decreased volume of farming. So even our agricultural production has gone down.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,104,NA,NA,NA,NA,NA,46,Husband works as a labour in construction site. I have to look after children so we have stopped pig breeding and also decreased volume of farming. So even our agricultural production has gone down.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,101,NA,NA,NA,NA,NA,46,Husband had gone abroad but returned because of low income and his current earning is not enough so that we could save money.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,104,NA,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,109,NA,NA,NA,NA,NA,48,We are spending more on childrens education and medication,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,100,NA,NA,NA,NA,NA,48,There is only husband who works as a labour and earn which we need to spend on everything so we don�t have saving. [See answer to E2: In my case it is no. I don�t work any more. I just look after the children. Only husband works as a labour and we are surviving on that.].,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,81,NA,NA,NA,NA,NA,48,"There are three cooperative established from womens group which provide easy loan, and we also have some loan.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,100,NA,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
